mercury,released to,atmosphere,,,
effects mercury,emerging,amazonian regions,,,
studies,concern,mercury contamination,,,
mercury contamination,affects,fish,,,
mercury contamination,affects,people,,,
studies,concern,mercury bioaccumulation,,,
mercury bioaccumulation,alter,amazonian ecosystems,,,
large dam construction,increase,mercury exposure,,,
mercury,should be included,discussions of dams,,,
countries,signed,minamata convention,,,
countries,creating,national action plans,,,
countries,implementing,minamata initial assessment,,,
countries,made progress,fair trade gold certification,,,
amazon biome,faces,mercury contamination,,,
cautionary measures,employed,the interamerican commission,,,
tres islas community,found in,madre de dios peru,,,
control and regulation policies,counteract,the powerful mercury contraband market,,,
the amazon,need,more comprehensive measures,,,
countries,design,national action plans,,,
national action plans,according to,article,,,
article,determine,type solutions,,,
type solutions,enacted,short and medium terms,,,
short and medium terms,reduce,mercury emissions,,,
mercury emissions,releases,amazon biome,,,
amazon biome,included,market mechanisms,,,
problem mercury,prevent,minamata disaster,,,
minamata disaster,depend on,balance,,,
balance,promote,mercuryfree gold markets,,,
mercuryfree gold markets,need,reduce emissions,,,
reduce emissions,protect,communities,,,
communities,prevent,trafficking illegal mercury,,,
trafficking illegal mercury,stop,mercury contamination,,,
mercury markets,inclusion,gold mining,,,
amazon biome,composed,eight countries,,,
mercury use,found in,amazon biome,,,
mercury,has been,concern,,,
mercury releases,gained,attention,,,
minamata bay disaster,motivated,efforts,,,
mercury,found in,environments,,,
mercury,bioaccumulation,food chain,,,
humans,are exposed,mercury,,,
illegal gold mining,is in,latin america,,,
coalfired power plants,are,main sources of electricity,,,
main sources of electricity,emit,anthropogenic mercury,,,
anthropogenic mercury,added to,atmosphere,,,
anthropogenic mercury,occurred in,nineteenth century,,,
nineteenth century,associated with,industrial revolution,,,
industrial revolution,result of,coal burning,,,
gold mining,boom in,the world,,,
fossil fuel,drives,economic growth,,,
economic growth,cause,greater demand,,,
greater demand,supplied by,expansion,,,
mercury emissions,declined in,europe,,,
mercury emissions,declined in,united states,,,
decline,due to,filter technologies,,,
filter technologies,are,scrubbers,,,
scrubbers,used in,coal burning plants,,,
coal burning plants,control,sulfur,,,
coal burning plants,control,particulate materials,,,
mercury emissions,increased,global south,,,
gold mining,shifted from,historically important sites,,,
historically important sites,are in,united states,,,
historically important sites,are in,canada,,,
historically important sites,are in,australia,,,
historically important sites,are in,south africa,,,
gold mining,shifted to,low and middleincome countries,,,
low and middleincome countries,are in,global south,,,
million people,work in,gold mining sector,,,
gold mining sector,has,three million women,,,
gold mining sector,has,children,,,
mercury,used in,separation process,,,
gold,separated from,other materials,,,
miners,combine,mercury,,,
gold,is in,sands,,,
gold,is in,soils,,,
gold,is in,sediments,,,
mercury-gold amalgam,placed on,metal pan,,,
mercury-gold amalgam,heated by,blowtorch,,,
blowtorch,evaporates,mercury,,,
gold,left behind,boiling point,,,
gold boiling point,is higher than,mercury,,,
mercury,pass,gas,,,
mercury storage,cause,contamination,,,
mercury,enter,soil,,,
mercury,enter,water systems,,,
mercury,become,volatile,,,
mercury,enter,air,,,
mercury,emitted,atmosphere,,,
mercury,released,soil,,,
mercury,released,water bodies,,,
emissions,comes from,mining,,,
amazon biome,experienced,mining boom,,,
miners,involved,brazilian gold,,,
gold rushes,found in,nineteenthcentury california,,,
mining activities,found in,guyana,,,
artisanal mining,is in,demand,,,
mining activities,are,partly mechanized,,,
alluvial deposits,exploited,water pumps,,,
mining techniques,used in,amazon,,,
amazonian departments,not included,national mining census,,,
illegal mining,found in,amazon countries,,,
mercury mining,found in,amazon biome,,,
mining expansion,found in,amazon region,,,
gold mining,found in,colombian amazon,,,
mining investors,search,new business,,,
new business,accompanies,mining frontier,,,
mining frontier,expands to,new lands,,,
tropical rain forests,found in,amazon,,,
settlers and migrants,reactivated,gold mining activities,,,
gold mining activities,found in,colombian amazon,,,
urban and rural poor,look for,improved livelihood opportunities,,,
mining activities,focus on,removing alluvial sediments,,,
alluvial sediments,removed by,dredges and minidredges,,,
illegal armed groups,adopted,gold mining,,,
gold mining,seen as,source income,,,
source income,complements,illegal activities,,,
illegal activities,include,guerrilla and criminal gangs,,,
dissident groups,operate in,amazon region,,,
guerrilla and criminal gangs,extort,miners,,,
miners,connected to,mining activities,,,
mine owners,have,agreements,,,
agreements,done with,indigenous communities,,,
indigenous communities,found in,mid and lowercaquet river,,,
local communities,cope with,mining expansion,,,
mining expansion,affects,local production systems,,,
local production systems,affect,autonomy,,,
criminal influences,infiltrate,gold production chains,,,
amazon,integrated with,mercury trade markets,,,
mercury demand,has risen,past ten years,,,
demand mercury,rise because of,gold mining,,,
mercury,affect,amazonian communities,,,
amazon biome,is connected,global mercury trade,,,
international trade data,includes,legal markets,,,
mercury,used in,amazon region,,,
mercury production,exist,latin america,,,
mercury,used in,mining sites,,,
mercury,imported,mercury-producing countries,,,
minamata convention,restricted,mercury exports,,,
mexico,became,main provider,,,
main provider,related to,mercury,,,
local mercury suppliers,connected,gold value chain,,,
gold trade actors,overlap,gold trade flows,,,
mexico,became,main provider mercury,,,
excess mercury,sold,transnational contraband networks,,,
illegal mercury markets,cross,borders,,,
mercury supply,exists,amazon biome,,,
illegal mercury trade,reported in,newspapers,,,
mercury,can be obtained,border areas,,,
gold production,found in,bolivia,,,
kilogram gold,produced,kilograms mercury,,,
environmental situation,found in,san simon,,,
san simon,has,protected areas,,,
protected areas,found in,lower paragu,,,
lower paragu,is,production forest,,,
production forest,found in,noel kempff mercado national reserve,,,
noel kempff mercado national reserve,is,national park,,,
madre de dios region,found in,peru,,,
peru,adjacent,bolivia,,,
bolivia,undergoing,mining activity,,,
elemental mercury,used in,gold mining process,,,
mercury releases,found in,bolivias northern amazon,,,
bolivias northern amazon,has,beni river,,,
beni river,joins,madre de dios river,,,
madre de dios river,close to,riberalta town,,,
riberalta town,found in,border area,,,
country,has,discrepancies,,,
discrepancies,found in,mercury import records,,,
ibama,imported,metric tons mercury,,,
mercury,used in,chloralkali industry,,,
chloralkali industry,located in,bahia,,,
mercury,used in,mining activities,,,
methylation processes,occurred,water sources,,,
colombia,does not produce,mercury,,,
colombia,relies,imported mercury,,,
small cinnabar mine,existed,coffee region,,,
coffee region,produced,very little mercury,,,
very little mercury,has been inactive,several years,,,
metric tons mercury,entered,sea,,,
colombia,imported,most mercury,,,
artisanal and smallscale mining,primarily in,peru and ecuador,,,
ecuador,does not produce,mercury,,,
ecuador,imports,mercury,,,
metric tons mercury,were imported,ecuador,,,
metric tons mercury,entered,ecuador,,,
mercury suppliers,were,germany,,,
mercury suppliers,were,spain,,,
mercury suppliers,were,belgium,,,
mercury suppliers,were,united states,,,
mercury suppliers,were,netherlands,,,
mercury,used in,artisanal and informal gold mining,,,
mining areas,include,nambija and bella rica,,,
peru,is,mercury importer,,,
peru,receives,metric tons mercury,,,
artisanal gold miners,consume,metric tons mercury,,,
peru,stopped,importing mercury,,,
national superintendence customs and tax administration,implementing,control mechanisms,,,
illegal mercury market,located in,border of peru,,,
peruvian authorities,seized,illegal shipment,,,
mercury,may be,entering peru,,,
peru,exported,mercury,,,
mercury,transported by,land,,,
mercury,transported by,water,,,
mercury,used in,gold mining,,,
gold mining,located in,madre de dios,,,
gold mining,located in,puno,,,
gold mining,located in,puerto maldonado,,,
venezuela,has,mercury production,,,
venezuela,received,mercury imports,,,
mercury,used in,oil industries,,,
mercury,used in,petrochemical industries,,,
mercury,used in,caustic soda plants,,,
guyana,supply,mercury,,,
guyana,trade,mercury,,,
mining districts,include,puerto kaituma,,,
mining districts,include,bartica,,,
mining districts,include,mahdia,,,
nonferrous metal mining,found in,french guiana,,,
french guiana,use,mercury,,,
french guiana,use,clandestine mercury,,,
guyana,imported,metric tons mercury,,,
suriname,produce,mercury mining byproducts,,,
suralco bauxite mining company,collects,mercury,,,
smugglers,trade,mercury,,,
mercury,is smuggled,to suriname,,,
mercury,is hidden,in other shipments,,,
mercury,is element,in dental amalgams,,,
mercury,is mislabeled,when shipped,,,
mislabeled mercury,is not,correctly declared,,,
incorrect declaration,is at,customs,,,
illegal mercury,can be purchased,border areas,,,
crossborder network,is diverted,legal and illegal imports,,,
miners,use,mercury,,,
mercury,illegally obtained,peru,,,
peru,serves,mercury distribution center,,,
mercury,enters,peru,,,
mercury,enters,colombia,,,
mercury,imported,mexico,,,
seller,sell,mercury,,,
mercury,used in,witchcraft,,,
mercury,used in,homemade explosives,,,
miners,exploit,kilograms gold,,,
migrations,stimulate,urbanization,,,
miners,resorted,tactics,,,
tactics,include,registering a civil union,,,
tactics,include,adopting a parentless child,,,
tactics,include,forging identification documents,,,
illegal mining,bolstered by,machinery,,,
illegal mining,bolstered by,protection armed groups,,,
people,smuggle,the gold,,,
foreigners,set,companies,,,
gold trade,maintained by,front companies,,,
mercury importers,resold,metal,,,
mercury,impact,environment,,,
mercury,impact,human health,,,
gold particles,are isolated from,lighter minerals,,,
mercury,is applied to,materials,,,
mercury,is emitted to,atmosphere,,,
mercury vapors,released,atmosphere,,,
bioaccumulation,is,progressive accumulation,,,
contaminant,found in,food,,,
mercury,dumped,water source,,,
methylmercury,bioaccumulates,living organisms,,,
mercury,biomagnification,land and aquatic ecosystems,,,
mercury emissions,affect,terrestrial food chains,,,
mercury,transformed in,bioavailable forms,,,
fish and marine mammal migrations,cause,contamination,,,
contamination,spread in,water basin,,,
amazon river basin,starts in,peru,,,
amazon river basin,ends in,brazil,,,
mercury releases,affect,food chains,,,
bioaccumulation and biomagnification,occur in,species,,,
carnivorous fish,contained,mercury levels,,,
river dolphins,had,mercury levels,,,
methyl mercury concentrations,are higher in,carnivorous fish,,,
mercury levels,are higher in,detritivore fish,,,
pink dolphins,are,bio indicator,,,
mercury concentrations,researched in,turtle species,,,
caimans,are,bioindicator,,,
human exposure,include,inhaling vapors,,,
human exposure,include,skin contact,,,
human exposure,include,ingesting organic material,,,
material,contaminated,mercury,,,
mercury,in,fish,,,
mercury,in,plants,,,
contamination,affects,people,,,
contamination,affects,communities,,,
mercury,is,emitted,,,
organisms,include,macroinvertebrates,,,
organisms,include,shellfish,,,
organisms,include,fish,,,
organisms,include,birds,,,
organisms,include,mammals,,,
mercury,enters,human body,,,
mercury poisoning,cause,manifestations,,,
manifestations,based,age,,,
mercury poisoning,leads to,skin irritation,,,
mercury poisoning,leads to,fever,,,
mercury poisoning,leads to,headaches,,,
mercury poisoning,leads to,nausea,,,
mercury poisoning,leads to,diarrhea,,,
mercury poisoning,leads to,fatigue,,,
mercury poisoning,leads to,insomnia,,,
mercury poisoning,leads to,irritability,,,
mercury poisoning,leads to,diminished sensorial acuity,,,
mercury poisoning,leads to,blindness,,,
mercury poisoning,leads to,renal problems,,,
mercury poisoning,leads to,memory loss,,,
mercury poisoning,leads to,tremors,,,
mercury poisoning,leads to,brain damage,,,
mercury poisoning,leads to,neurological disorders,,,
populations,include,pregnant women,,,
populations,include,neonates,,,
populations,include,children,,,
populations,include,adolescents,,,
research,focused,measuring mercury,,,
mercury emissions,endangers,lifestyles,,,
mercury emissions,endangers,nutrition,,,
mercury emissions,endangers,health,,,
mercury emissions,endangers,cultural integrity,,,
fish trade,provides,revenue,,,
revenue,supports,local communities,,,
local communities,have,food markets,,,
farmers,set,afrodescendants,,,
afrodescendants,inhabit,amazonian cities,,,
inhabitants,consume,mercurycontaminated fish,,,
scientists,conduct,biomonitoring studies,,,
scientists,develop,viable route,,,
mercury,spilled,land surfaces,,,
mercury,released,rivers,,,
soils,contain,mercury,,,
mercury,evaporates from,gold amalgams,,,
mercury,emitted from,mercury rich soils,,,
deforestation,cause,deteriorating chain reaction,,,
mercury,releases,emissions,,,
large dams,are associated,large mercury releases,,,
tucuru dam,is in,brazil,,,
mining,has increased,natural levels mercury,,,
deforestation,removes,alluvial sediments,,,
amazons freshwater systems,spread,contamination,,,
contamination,posing,threat,,,
threat,leads to,health,,,
mercury,is,element,,,
mercury,released in,air,,,
study,suggests,emissions,,,
emissions,are,responsible,,,
responsible,for,pollution,,,
contaminated animals,eaten by,predators,,,
predators,found in,food chain,,,
mercury pollution,received,attention,,,
artisanal and small scale gold mining,is,source,,,
source,cause,pollution,,,
hearty broth,has,reviving properties,,,
hearty broth,has,healing properties,,,
mercury pollution,threatens,species health,,,
mercury pollution,threatens,species wellbeing,,,
mercury,accumulated in,food chain,,,
migratory animals,transport,mercury,,,
migratory animals,contributes,mercury spread,,,
migratory animals,carry,mercury,,,
chemical forms,become,dangerous,,,
high concentrations,detected in,mercury,,,
mercury,exceeded,mercury limits,,,
mercury limits,set by,world health organization,,,
asgm activities,take place,areas,,,
areas,including,environmental contamination,,,
acute threat,contaminated,mercury,,,
mercury,pose,risks,,,
risks,poisons,wild life,,,
wild life,threatens,endemic species,,,
miners,are in,communities,,,
communities,face,highest risk,,,
highest risk,is,mercury poisoning,,,
health disorders,caused by,human exposure,,,
human exposure,is to,mercury,,,
residents,inhale,mercury vapours,,,
gold,undergoes,purification process,,,
airborne mercury,is in,gold mining operations,,,
gold mining operations,are in,venezuela,,,
pregnant women,transmit,toxins,,,
toxins,are to,their fetuses,,,
mercury,alters,health conditions,,,
million individuals,are in,the basin,,,
peru,has,asgm activity,,,
asgm activity,found in,dangerous type,,,
dangerous type,is of,mercury,,,
elemental mercury,is,inhaled,,,
organic mercury,is,consumed,,,
health disorders,are from,exposure,,,
broad diffusion,mercury,region,,,
region,threatens,vulnerable populations,,,
vulnerable populations,mining,communities,,,
impacts of mercury,threaten,economic productivity,,,
economic productivity,outputs,peoples livelihoods,,,
peoples livelihoods,includes,mining industry,,,
mercury,found in,hair,,,
hair,tested,people,,,
infants,experience,death,,,
death,caused by,mercury exposure,,,
mercury poisoning,cause,reduced neurological function,,,
reduced neurological function,cause,vision loss,,,
vision loss,contributes,premature death,,,
mercury contamination,harm,crops,,,
income,reflects by,national economic output,,,
national economic output,protrays,economic health,,,
need of healthcare,creates,financial strain,,,
financial strain,impacts,national health systems,,,
freshwater system,threaten,future prosperity,,,
severe risks,threat to,sustainability,,,
sustainability,includes,entire region,,,
entire region,provides,environmental social values,,,
environmental social values,protecting,regions,,,
regions,has,bio diversity,,,
industry stakeholder group,has,motivations,,,
motivations,address to,mercury pollution,,,
mercury pollution,found in,the amazon,,,
mercury poisoning,impact,mortality,,,
mortality,impact,productivity life,,,
productivity life,impact,daily earnings,,,
a methylated form mercury,can enter,the food web,,,
high risk,causes by,taking mercury,,,
mercury,burn from,the arsanal gold mining process,,,
mercury,is emited,in the atmosphere,,,
the atmosphere,can enter,in a forest,,,
gold mining,cause,deforestaon,,,
large amounts sediment,found in,river botoms,,,
miners,excavate,sediments,,,
miners,search,small pieces gold,,,
miners,mix,liquid mercury,,,
smallscale gold mining,has been going,through the amazon,,,
biomass burning,is,source of mercury emissions,,,
mercury,emitted,biomass burning,,,
emissions,declined,period,,,
reduction,is,result,,,
emissions,declining,deforestation,,,
countries,dropped,rates,,,
tendency,shifted,years,,,
increase,is,deforestation,,,
study,concludes,source,,,
source,contributes,emissions,,,
source,compare,data,,,
data,is,environmental justice atlas,,,
atlas,published,ejolt project,,,
database,is,environmental conflicts,,,
conflicts,defined,mobilizations,,,
mobilizations,include,support,,,
economic activities,are,infrastructure construction,,,
environmental impacts,are,element,,,
atlas,contains,map,,,
map,filtered,resources,,,
database,reports,conflicts,,,
conflicts,associated,iigm,,,
countries,are,amazon countries,,,
information,is,overview,,,
section,provide,overview,,,
information,carried,countries,,,
synthesis,provide,look,,,
literature,is,governmental reports,,,
topic,is,countries,,,
bolivia,become,emitter,,,
emitter,is,mercury,,,
mining activities,are,latin america,,,
mining activities,receive,environmental license,,,
mining activities,receive,legal permit,,,
mining activities,meet,conditions,,,
report,emphasizes,bolivian amazon,,,
bolivian amazon,is,vulnerable,,,
soils,are,rich,,,
aquatic systems,are,conducive,,,
mercury,transforming,methylmercury,,,
methylmercury,entering,food chain,,,
landscape,have,changed,,,
human activities,causing,soil erosion,,,
soil erosion,resulting,mercury emissions,,,
populations,consume,fish,,,
river,was,mined,,,
geographic conditions,is,high risk,,,
itenez river basin,located,easternmost area,,,
itenez river basin,forms,system,,,
middle and lower basins,have,subjected,,,
san simon highlands,used in,large quantities mercury,,,
mercury contamination,exists,san simon highlands,,,
small mines,emit,metric tons,,,
esse ejja,are,impacted,,,
vein mining activities,occur,headwaters,,,
river,used in,la paz department,,,
mercury,used in,guanay,,,
mercury,cause,contamination,,,
contamination,found in,rurrenabaque,,,
brazil,estimates,metric tons mercury,,,
metric tons mercury,used in,gold mining,,,
gold mining,exists in,amazon region,,,
amount mercury,used in,amalgamation,,,
mining region,received,metric tons mercury,,,
metric tons mercury,released in,water bodies,,,
mercury,dumped in,river banks,,,
mercury,emitted in,atmosphere,,,
mercury contamination,is,common topic,,,
research groups,producing,scientific data,,,
gaseous mercury,located in,manaus,,,
brazil,has,largest body studies,,,
research,carried in,hacon et al.,,,
publications,produced in,amazon river basin,,,
populations,exposed to,methylmercury contamination,,,
dietary habits,rely on,fish,,,
high levels,found in,mercury hair samples,,,
mercury emissions,impact,environmental and health,,,
population levels,observed,central amazon riverside villages,,,
majority studies,indicated,strong correlation,,,
frequency fish consumption,exposure,methylmercury,,,
berzas nevado et al.,conducted,study,,,
contamination fish,associated,mining,,,
tapajs river,contains,literature review,,,
fiocruz foundation,conducted,study,,,
yanomami and yekwana indigenous peoples,presented,mercury levels,,,
situation,related,release mercury,,,
indigenous leader davi kopenawa,presented,report,,,
complaint,supported,survival international,,,
report,published,peerreviewed journal,,,
study,reported,average level mercury,,,
brazil national databank,introduced,conama resolution,,,
databank,published,inventory contaminated areas,,,
minas gerais state,published,report,,,
databank,achieve,commitments,,,
minamata convention,identification,management sites,,,
report,classified,colombia,,,
colombia,exceeded,china,,,
china,followed,colombia,,,
colombia,indicated,mercury,,,
mercury,is,metric tons,,,
site,is,segovia antioquia veiga,,,
colombia,emitted,metric tons,,,
metric tons,came,iigm,,,
ministry environment,conducted,inventory,,,
inventory,reported,metric tons,,,
metric tons,released,soils,,,
air,released,environment,,,
gm,measured,gold shops,,,
gold shops,is,who standard,,,
mercury,used in,colombia,,,
colombia,allocated,gold mining,,,
gold mining,extraction,minerals,,,
year,dumped,country,,,
emissions,result,iigm sector,,,
iigm sector,totals,country,,,
colombia,emits,tons,,,
tons,result,iigm activities,,,
report,released,scope,,,
assessment,conducted on,colombia,,,
center,calculated,emissions,,,
center,calculated,releases,,,
calculations,based,input factor,,,
input factor,represents,iigm,,,
mercury emissions,impact,environmental health,,,
mercury emissions,impact,soil,,,
mercury emissions,impact,air,,,
metric tons mercury,released,atmosphere,,,
gold extraction,varies,input factor,,,
metric tons emissions,released,air,,,
metric tons emissions,released,water,,,
metric tons emissions,released,soil,,,
literature review,found in,results databases,,,
documents,dealt,public health,,,
documents,dealt,occupational health,,,
ministry of health,conducted,bibliographic compilation,,,
research,done,mercury contamination,,,
report,indicated,studies,,,
research,exist,northern regions,,,
human rights violations,presented,plaintiff associations,,,
investigation,conducted,scientist jesus olivero verbel,,,
working paper,done,collaboration,,,
mercury concentrations,measured,people communities,,,
research,exist,colombian amazon,,,
sinchi amazonian institute,carried,physicalchemical analysis,,,
annual report,indicate,heavy metals water,,,
presence,is,environment,,,
levels,surpass,recommended limits,,,
investigation,conducted,muscular tissue,,,
values,calculated,colombian standards,,,
colombian standards,permitted,limits human consumption,,,
sinchi institute,found in,mercury levels,,,
mercury levels,were,sediments,,,
sediments,were,united states environmental protection agency standards,,,
wwf,done,biomonitoring projects,,,
biomonitoring projects,documenting,mercury levels,,,
mercury levels,were,vulture catfish,,,
mercury levels,were,pink dolphins,,,
research,published,warnings,,,
warnings,investigated,colombian amazon,,,
study,done,oliveroverbel,,,
oliveroverbel,identify,health impacts,,,
health impacts,were,mining activities,,,
inhabitants,had,average mercury concentrations,,,
average mercury concentrations,were,hair samples,,,
presence mercury,is,direct result,,,
direct result,is,daily consumption fish,,,
results,are,extremely high,,,
extremely high,is,comparison,,,
comparison,is,international standards human health,,,
mercury contamination,is,significant public health problem,,,
high concentrations mercury,cause,neurological sensorial problems,,,
high concentrations mercury,cause,reproductive problems,,,
some,questioned,causal relationship,,,
causal relationship,is,illegal gold mining activities,,,
illegal gold mining activities,and,high levels mercury,,,
government officials,dismissed,research,,,
element,occurs in,amazonian soils,,,
levels,found in,riverside communities,,,
riverside communities,are in,caquet,,,
levels,could be,result,,,
result,related to,processes,,,
processes,involve,evapotranspiration,,,
evapotranspiration,occurs in,regions,,,
regions,are in,country,,,
actors,discredited,research,,,
research,includes,pilot project,,,
pilot project,designed by,olivero,,,
researchers,were,threatened,,,
researchers,studying,mercury concentrations,,,
mercury concentrations,found in,fish,,,
mercury concentrations,found in,pink dolphins,,,
investigative efforts,hindered by,capacity,,,
capacity,is,limited,,,
capacity,distributed in,country,,,
country,carries,mercury measurements,,,
measurements,use,matrices,,,
monitoring activities,implemented in,departments,,,
departments,are in,country,,,
equipment,analyzes,mercury,,,
mercury,found in,water,,,
water,is,food,,,
food,is,biological matrices,,,
problem,is in,colombia,,,
government,recognizes,validity,,,
research,carried by,institutions,,,
institutions,are,research institutes,,,
researches,reported,cases,,,
cases,done by,universities,,,
cases,done by,ngos,,,
research,dismissed by,government authorities,,,
research,followed,protocols,,,
reports,suggest,research,,,
research,use,certified laboratories,,,
research,discarded by,state,,,
information,is about,mercury,,,
mercury,contaminates,fish,,,
fish,are in,amazon,,,
study,published by,salinas,,,
authors,collected,samples,,,
samples,are from,fish markets,,,
fish markets,are in,cities,,,
mining expansion,affect,local production systems,,,
conflicts,associated with,iigm,,,
result,of,processes,,,
problem,is,mercury contamination,,,
mercury contamination,is related,gold mining,,,
brazilian ministry environment,promoted,actions,,,
actions,minimize,risks,,,
risks,derived from,using mercury,,,
framework,provided,guidelines,,,
guidelines,implement,activities,,,
activities,mitigate,damage,,,
damage,caused by,mercury,,,
country,has,national policies,,,
national policies,allow,control,,,
brazilian institute environment,responsible for,controlling mercury,,,
information,is in,activities,,,
activities,use,mercury,,,
recycler,responsible for,management,,,
recycler,responsible for,elimination,,,
elimination,is of,mercury,,,
national mercury emissions inventory,uses,unep toolkit,,,
unep toolkit,estimate,quantity emissions,,,
unep toolkit,estimate,vapor releases,,,
vapor releases,promote,mercury control,,,
vapor releases,promote,reduction measures,,,
reduction measures,benefit,human health,,,
reduction measures,benefit,environmental health,,,
colombia,passed,law,,,
law,regulates,use of mercury,,,
measure,eliminates,mercury supply,,,
measures,control,illegal sale,,,
mercury,operates,distribution networks,,,
colombia,interested in,reducing mercury,,,
mercury use,recommended by,oecd,,,
national government,designed,mercury plan,,,
colombia,entered,oecd,,,
colombia,received,support,,,
support,implement,mia project,,,
constitutional court,endorsed,law,,,
colombian government,presented,proposal,,,
colombia,taking,cooperation projects,,,
cooperation projects,deals with,issue mercury,,,
colombia,has,global opportunities,,,
development,found in,gold mining sector,,,
strategies,implemented,recovering lands,,,
lands,are,contaminated with mercury,,,
